formula,material_id,band_gap,formation_energy,energy_above_hull,nsites,volume,density,spacegroup_symbol,spacegroup_number,crystal_system,lattice_a,lattice_b,lattice_c,lattice_alpha,lattice_beta,lattice_gamma,category,analyzed_metal,stable_phase_pH2,region_pH2,stable_phase_pH5,region_pH5
V,mp-2647074,0.0,0.253784719999998,0.253784719999998,2,27.74339075669576,6.098054243120108,P6_3/mmc,194,hexagonal,2.604294,2.604294205314369,4.723336,90.0,90.0,119.99999739209782,mono-metallic metal,V,VO4[-1],Passivation,VO4[-1],Passivation
V,mp-8632,0.0,0.247140399999999,0.247140399999999,1,13.639763729020526,6.201746052332707,Fm-3m,225,cubic,2.6818876231735547,2.6818880253460584,2.68188756,60.000005739808344,60.00000077921399,60.0000124589672,mono-metallic metal,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1040910,0.9781000000000001,-2.317210477499999,0.205257699166653,36,445.88594198998743,3.706569650458726,P1,1,triclinic,6.010848,6.019935771086598,14.188554636223698,90.23895964622928,90.36271074969761,119.71236735741016,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1245012,0.8943000000000001,-2.24444660372549,0.27802157294116103,102,1501.3444444978788,3.118984921087794,P1,1,triclinic,11.507446211505895,11.358176006212572,11.5108487752174,87.20472531619927,91.01604672031604,92.27723175636528,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1245047,0.5321,-1.905343560686275,0.617124615980376,102,1345.2484135527704,3.480896640778031,P1,1,triclinic,11.021544452686667,11.325368315208452,10.858575056526199,87.84830492913777,84.13658903545367,92.96805175054587,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1245059,0.679299999999999,-2.264944019705882,0.257524156960769,102,1365.229359373816,3.429951642627723,P1,1,triclinic,10.230501186736596,11.782522438686936,11.374231349137027,90.11215288135092,85.7724112038943,93.17549185391537,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1289705,1.246,-2.408772476250001,0.11369570041665,24,280.98175448448484,3.921268371270814,P1,1,triclinic,3.0091796431718727,8.758153567098148,10.66702419261492,89.71984576172841,89.75879486828883,91.8089971222308,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-1353031,0.6626999999999991,-2.3406317410416673,0.18183643562498503,48,587.8670047851259,3.74848344198844,P1,1,triclinic,5.883591,5.890049701159575,19.45529323649505,90.62914537399983,98.44182471365968,117.734330573063,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-715517,1.0155,-2.424621426458335,0.09784675020831701,48,574.7653256910863,3.833929492665214,P1,1,triclinic,7.729022,8.598064528135444,8.64903465839593,89.82807201413632,89.96367770594982,89.93502793935203,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
VO2,mp-715553,0.0,-2.408770690000002,0.11369748666665001,12,135.95094349147362,4.052214859521343,P1,1,triclinic,2.937993,4.949631268082603,9.357382826481023,90.0349982258085,92.41619433568815,90.37545112182801,mono-metallic oxide,V,VO4[-1],Passivation,VO4[-1],Passivation
